Textbox_UWAGA2,Textbox_PARAMETRY
RETAIL PRICES OF SELECTED CONSUMER NON-FOODSTUFFS AND SERVICES - MONTHLY [ZL],"Year: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023
Month: I, II, III, IV, V, VI, VII, VIII, IX, X, XI, XII
Territorial unit: Poland"

Textbox2,KOD_TOWARY_NZYWN,KOD_ROKU,WARTOSC_OST_blok9
Specification,Return ticket for flight Warszawa-Kraków,2014 IX,1036.80
Specification,Return ticket for flight Warszawa-Kraków,2014 X,1036.80
Specification,Return ticket for flight Warszawa-Kraków,2014 XI,1036.80
Specification,Return ticket for flight Warszawa-Kraków,2014 XII,1036.80
Specification,Return ticket for flight Warszawa-Kraków,2015 I,1036.80
Specification,Return ticket for flight Warszawa-Kraków,2015 II,1036.80
Specification,Return ticket for flight Warszawa-Kraków,2015 III,1144.80
Specification,Return ticket for flight Warszawa-Kraków,2015 IV,1144.80
Specification,Return ticket for flight Warszawa-Kraków,2015 V,1144.80
Specification,Return ticket for flight Warszawa-Kraków,2015 VI,1144.80
Specification,Return ticket for flight Warszawa-Kraków,2015 VII,1144.80
Specification,Return ticket for flight Warszawa-Kraków,2015 VIII,1144.80
Specification,Return ticket for flight Warszawa-Kraków,2015 IX,1144.80
Specification,Return ticket for flight Warszawa-Kraków,2015 X,1144.80
Specification,Return ticket for flight Warszawa-Kraków,2015 XI,1144.80
Specification,Return ticket for flight Warszawa-Kraków,2015 XII,1207.44
Specification,Return ticket for flight Warszawa-Kraków,2016 I,.
Specification,Return ticket for flight Warszawa-Kraków,2016 II,.
Specification,Return ticket for flight Warszawa-Kraków,2016 III,.
Specification,Return ticket for flight Warszawa-Kraków,2016 IV,.
Specification,Return ticket for flight Warszawa-Kraków,2016 V,.
Specification,Return ticket for flight Warszawa-Kraków,2016 VI,.
Specification,Return ticket for flight Warszawa-Kraków,2016 VII,.
Specification,Return ticket for flight Warszawa-Kraków,2016 VIII,.
Specification,Return ticket for flight Warszawa-Kraków,2016 IX,.
Specification,Return ticket for flight Warszawa-Kraków,2016 X,.
Specification,Return ticket for flight Warszawa-Kraków,2016 XI,.
Specification,Return ticket for flight Warszawa-Kraków,2016 XII,.
Specification,Return ticket for flight Warszawa-Kraków,2017 I,.
Specification,Return ticket for flight Warszawa-Kraków,2017 II,.
Specification,Return ticket for flight Warszawa-Kraków,2017 III,.
Specification,Return ticket for flight Warszawa-Kraków,2017 IV,.
Specification,Return ticket for flight Warszawa-Kraków,2017 V,.
Specification,Return ticket for flight Warszawa-Kraków,2017 VI,.
Specification,Return ticket for flight Warszawa-Kraków,2017 VII,.
Specification,Return ticket for flight Warszawa-Kraków,2017 VIII,.
Specification,Return ticket for flight Warszawa-Kraków,2017 IX,.
Specification,Return ticket for flight Warszawa-Kraków,2017 X,.
Specification,Return ticket for flight Warszawa-Kraków,2017 XI,.
Specification,Return ticket for flight Warszawa-Kraków,2017 XII,.
Specification,Return ticket for flight Warszawa-Kraków,2018 I,.
Specification,Return ticket for flight Warszawa-Kraków,2018 II,.
Specification,Return ticket for flight Warszawa-Kraków,2018 III,.
Specification,Return ticket for flight Warszawa-Kraków,2018 IV,.
Specification,Return ticket for flight Warszawa-Kraków,2018 V,.
Specification,Return ticket for flight Warszawa-Kraków,2018 VI,.
Specification,Return ticket for flight Warszawa-Kraków,2018 VII,.
Specification,Return ticket for flight Warszawa-Kraków,2018 VIII,.
Specification,Return ticket for flight Warszawa-Kraków,2018 IX,.
Specification,Return ticket for flight Warszawa-Kraków,2018 X,.
Specification,Return ticket for flight Warszawa-Kraków,2018 XI,.
Specification,Return ticket for flight Warszawa-Kraków,2018 XII,.
Specification,Return ticket for flight Warszawa-Kraków,2019 I,.
Specification,Return ticket for flight Warszawa-Kraków,2019 II,.
Specification,Return ticket for flight Warszawa-Kraków,2019 III,.
Specification,Return ticket for flight Warszawa-Kraków,2019 IV,.
Specification,Return ticket for flight Warszawa-Kraków,2019 V,.
Specification,Return ticket for flight Warszawa-Kraków,2019 VI,.
Specification,Return ticket for flight Warszawa-Kraków,2019 VII,.
Specification,Return ticket for flight Warszawa-Kraków,2019 VIII,.
Specification,Return ticket for flight Warszawa-Kraków,2019 IX,.
Specification,Return ticket for flight Warszawa-Kraków,2019 X,.
Specification,Return ticket for flight Warszawa-Kraków,2019 XI,.
Specification,Return ticket for flight Warszawa-Kraków,2019 XII,.
Specification,Return ticket for flight Warszawa-Kraków,2020 I,.
Specification,Return ticket for flight Warszawa-Kraków,2020 II,.
Specification,Return ticket for flight Warszawa-Kraków,2020 III,.
Specification,Return ticket for flight Warszawa-Kraków,2020 IV,.
Specification,Return ticket for flight Warszawa-Kraków,2020 V,.
Specification,Return ticket for flight Warszawa-Kraków,2020 VI,.
Specification,Return ticket for flight Warszawa-Kraków,2020 VII,.
Specification,Return ticket for flight Warszawa-Kraków,2020 VIII,.
Specification,Return ticket for flight Warszawa-Kraków,2020 IX,.
Specification,Return ticket for flight Warszawa-Kraków,2020 X,.
Specification,Return ticket for flight Warszawa-Kraków,2020 XI,.
Specification,Return ticket for flight Warszawa-Kraków,2020 XII,.
Specification,Return ticket for flight Warszawa-Kraków,2021 I,.
Specification,Return ticket for flight Warszawa-Kraków,2021 II,.
Specification,Return ticket for flight Warszawa-Kraków,2021 III,.
Specification,Return ticket for flight Warszawa-Kraków,2021 IV,.
Specification,Return ticket for flight Warszawa-Kraków,2021 V,.
Specification,Return ticket for flight Warszawa-Kraków,2021 VI,.
Specification,Return ticket for flight Warszawa-Kraków,2021 VII,.
Specification,Return ticket for flight Warszawa-Kraków,2021 VIII,.
Specification,Return ticket for flight Warszawa-Kraków,2021 IX,.
Specification,Return ticket for flight Warszawa-Kraków,2021 X,.
Specification,Return ticket for flight Warszawa-Kraków,2021 XI,.
Specification,Return ticket for flight Warszawa-Kraków,2021 XII,.
Specification,Return ticket for flight Warszawa-Kraków,2022 I,.
Specification,Return ticket for flight Warszawa-Kraków,2022 II,.
Specification,Return ticket for flight Warszawa-Kraków,2022 III,.
Specification,Return ticket for flight Warszawa-Kraków,2022 IV,.
Specification,Return ticket for flight Warszawa-Kraków,2022 V,.
Specification,Return ticket for flight Warszawa-Kraków,2022 VI,.
Specification,Return ticket for flight Warszawa-Kraków,2022 VII,.
Specification,Return ticket for flight Warszawa-Kraków,2022 VIII,.
Specification,Return ticket for flight Warszawa-Kraków,2022 IX,.
Specification,Return ticket for flight Warszawa-Kraków,2022 X,.
Specification,Return ticket for flight Warszawa-Kraków,2022 XI,.
Specification,Return ticket for flight Warszawa-Kraków,2022 XII,.
Specification,Return ticket for flight Warszawa-Kraków,2023 I,.
Specification,Return ticket for flight Warszawa-Kraków,2023 II,.
Specification,Return ticket for flight Warszawa-Kraków,2023 III,.
Specification,Single ticket for flight Warszawa-Kraków,2010 I,X
Specification,Single ticket for flight Warszawa-Kraków,2010 II,X
Specification,Single ticket for flight Warszawa-Kraków,2010 III,X
Specification,Single ticket for flight Warszawa-Kraków,2010 IV,X
Specification,Single ticket for flight Warszawa-Kraków,2010 V,X
Specification,Single ticket for flight Warszawa-Kraków,2010 VI,X
Specification,Single ticket for flight Warszawa-Kraków,2010 VII,X
Specification,Single ticket for flight Warszawa-Kraków,2010 VIII,X
Specification,Single ticket for flight Warszawa-Kraków,2010 IX,X
Specification,Single ticket for flight Warszawa-Kraków,2010 X,X
Specification,Single ticket for flight Warszawa-Kraków,2010 XI,X
Specification,Single ticket for flight Warszawa-Kraków,2010 XII,X
Specification,Single ticket for flight Warszawa-Kraków,2011 I,X
Specification,Single ticket for flight Warszawa-Kraków,2011 II,X
Specification,Single ticket for flight Warszawa-Kraków,2011 III,X
Specification,Single ticket for flight Warszawa-Kraków,2011 IV,X
Specification,Single ticket for flight Warszawa-Kraków,2011 V,X
Specification,Single ticket for flight Warszawa-Kraków,2011 VI,X
Specification,Single ticket for flight Warszawa-Kraków,2011 VII,X
Specification,Single ticket for flight Warszawa-Kraków,2011 VIII,X
Specification,Single ticket for flight Warszawa-Kraków,2011 IX,X
Specification,Single ticket for flight Warszawa-Kraków,2011 X,X
Specification,Single ticket for flight Warszawa-Kraków,2011 XI,X
Specification,Single ticket for flight Warszawa-Kraków,2011 XII,X
Specification,Single ticket for flight Warszawa-Kraków,2012 I,X
Specification,Single ticket for flight Warszawa-Kraków,2012 II,X
Specification,Single ticket for flight Warszawa-Kraków,2012 III,X
Specification,Single ticket for flight Warszawa-Kraków,2012 IV,X
Specification,Single ticket for flight Warszawa-Kraków,2012 V,X
Specification,Single ticket for flight Warszawa-Kraków,2012 VI,X
Specification,Single ticket for flight Warszawa-Kraków,2012 VII,X
Specification,Single ticket for flight Warszawa-Kraków,2012 VIII,X
Specification,Single ticket for flight Warszawa-Kraków,2012 IX,X
Specification,Single ticket for flight Warszawa-Kraków,2012 X,X
Specification,Single ticket for flight Warszawa-Kraków,2012 XI,X
Specification,Single ticket for flight Warszawa-Kraków,2012 XII,X
Specification,Single ticket for flight Warszawa-Kraków,2013 I,X
Specification,Single ticket for flight Warszawa-Kraków,2013 II,X
Specification,Single ticket for flight Warszawa-Kraków,2013 III,X
Specification,Single ticket for flight Warszawa-Kraków,2013 IV,X
Specification,Single ticket for flight Warszawa-Kraków,2013 V,X
Specification,Single ticket for flight Warszawa-Kraków,2013 VI,X
Specification,Single ticket for flight Warszawa-Kraków,2013 VII,X
Specification,Single ticket for flight Warszawa-Kraków,2013 VIII,X
Specification,Single ticket for flight Warszawa-Kraków,2013 IX,X
Specification,Single ticket for flight Warszawa-Kraków,2013 X,X
Specification,Single ticket for flight Warszawa-Kraków,2013 XI,X
Specification,Single ticket for flight Warszawa-Kraków,2013 XII,X
Specification,Single ticket for flight Warszawa-Kraków,2014 I,X
Specification,Single ticket for flight Warszawa-Kraków,2014 II,X
Specification,Single ticket for flight Warszawa-Kraków,2014 III,X
Specification,Single ticket for flight Warszawa-Kraków,2014 IV,X
Specification,Single ticket for flight Warszawa-Kraków,2014 V,X
Specification,Single ticket for flight Warszawa-Kraków,2014 VI,X
Specification,Single ticket for flight Warszawa-Kraków,2014 VII,X
Specification,Single ticket for flight Warszawa-Kraków,2014 VIII,X
Specification,Single ticket for flight Warszawa-Kraków,2014 IX,X
Specification,Single ticket for flight Warszawa-Kraków,2014 X,X
Specification,Single ticket for flight Warszawa-Kraków,2014 XI,X
Specification,Single ticket for flight Warszawa-Kraków,2014 XII,X
Specification,Single ticket for flight Warszawa-Kraków,2015 I,X
Specification,Single ticket for flight Warszawa-Kraków,2015 II,X
Specification,Single ticket for flight Warszawa-Kraków,2015 III,X
Specification,Single ticket for flight Warszawa-Kraków,2015 IV,X
Specification,Single ticket for flight Warszawa-Kraków,2015 V,X
Specification,Single ticket for flight Warszawa-Kraków,2015 VI,X
Specification,Single ticket for flight Warszawa-Kraków,2015 VII,X
Specification,Single ticket for flight Warszawa-Kraków,2015 VIII,X
Specification,Single ticket for flight Warszawa-Kraków,2015 IX,X
Specification,Single ticket for flight Warszawa-Kraków,2015 X,X
Specification,Single ticket for flight Warszawa-Kraków,2015 XI,X
Specification,Single ticket for flight Warszawa-Kraków,2015 XII,X
Specification,Single ticket for flight Warszawa-Kraków,2016 I,139.29
Specification,Single ticket for flight Warszawa-Kraków,2016 II,139.38
Specification,Single ticket for flight Warszawa-Kraków,2016 III,141.22
Specification,Single ticket for flight Warszawa-Kraków,2016 IV,144.82
Specification,Single ticket for flight Warszawa-Kraków,2016 V,144.82
Specification,Single ticket for flight Warszawa-Kraków,2016 VI,144.82
Specification,Single ticket for flight Warszawa-Kraków,2016 VII,144.82
Specification,Single ticket for flight Warszawa-Kraków,2016 VIII,144.82
Specification,Single ticket for flight Warszawa-Kraków,2016 IX,144.82
Specification,Single ticket for flight Warszawa-Kraków,2016 X,146.62
Specification,Single ticket for flight Warszawa-Kraków,2016 XI,150.22
Specification,Single ticket for flight Warszawa-Kraków,2016 XII,158.78
Specification,Single ticket for flight Warszawa-Kraków,2017 I,168.86
Specification,Single ticket for flight Warszawa-Kraków,2017 II,155.47
Specification,Single ticket for flight Warszawa-Kraków,2017 III,161.95
Specification,Single ticket for flight Warszawa-Kraków,2017 IV,106.87
Specification,Single ticket for flight Warszawa-Kraków,2017 V,106.87
Specification,Single ticket for flight Warszawa-Kraków,2017 VI,106.87
Specification,Single ticket for flight Warszawa-Kraków,2017 VII,106.87
Specification,Single ticket for flight Warszawa-Kraków,2017 VIII,106.87
Specification,Single ticket for flight Warszawa-Kraków,2017 IX,133.15
Specification,Single ticket for flight Warszawa-Kraków,2017 X,151.15
Specification,Single ticket for flight Warszawa-Kraków,2017 XI,151.15
Specification,Single ticket for flight Warszawa-Kraków,2017 XII,141.43
Specification,Single ticket for flight Warszawa-Kraków,2018 I,141.43
Specification,Single ticket for flight Warszawa-Kraków,2018 II,151.25
Specification,Single ticket for flight Warszawa-Kraków,2018 III,141.52
Specification,Single ticket for flight Warszawa-Kraków,2018 IV,150.16
Specification,Single ticket for flight Warszawa-Kraków,2018 V,154.48
Specification,Single ticket for flight Warszawa-Kraków,2018 VI,180.08
Specification,Single ticket for flight Warszawa-Kraków,2018 VII,154.48
Specification,Single ticket for flight Warszawa-Kraków,2018 VIII,166.00
Specification,Single ticket for flight Warszawa-Kraków,2018 IX,176.08
Specification,Single ticket for flight Warszawa-Kraków,2018 X,150.16
Specification,Single ticket for flight Warszawa-Kraków,2018 XI,150.88
Specification,Single ticket for flight Warszawa-Kraków,2018 XII,104.29
Specification,Single ticket for flight Warszawa-Kraków,2019 I,131.53
Specification,Single ticket for flight Warszawa-Kraków,2019 II,151.46
Specification,Single ticket for flight Warszawa-Kraków,2019 III,152.54
Specification,Single ticket for flight Warszawa-Kraków,2019 IV,152.18
Specification,Single ticket for flight Warszawa-Kraków,2019 V,151.46
Specification,Single ticket for flight Warszawa-Kraków,2019 VI,151.46
Specification,Single ticket for flight Warszawa-Kraków,2019 VII,151.46
Specification,Single ticket for flight Warszawa-Kraków,2019 VIII,178.10
Specification,Single ticket for flight Warszawa-Kraków,2019 IX,151.46
Specification,Single ticket for flight Warszawa-Kraków,2019 X,151.46
Specification,Single ticket for flight Warszawa-Kraków,2019 XI,138.33
Specification,Single ticket for flight Warszawa-Kraków,2019 XII,143.90
Specification,Single ticket for flight Warszawa-Kraków,2020 I,138.50
Specification,Single ticket for flight Warszawa-Kraków,2020 II,138.51
Specification,Single ticket for flight Warszawa-Kraków,2020 III,138.53
Specification,Single ticket for flight Warszawa-Kraków,2020 IV,138.20
Specification,Single ticket for flight Warszawa-Kraków,2020 V,137.55
Specification,Single ticket for flight Warszawa-Kraków,2020 VI,138.53
Specification,Single ticket for flight Warszawa-Kraków,2020 VII,121.61
Specification,Single ticket for flight Warszawa-Kraków,2020 VIII,98.57
Specification,Single ticket for flight Warszawa-Kraków,2020 IX,101.09
Specification,Single ticket for flight Warszawa-Kraków,2020 X,94.61
Specification,Single ticket for flight Warszawa-Kraków,2020 XI,97.49
Specification,Single ticket for flight Warszawa-Kraków,2020 XII,134.57
Specification,Single ticket for flight Warszawa-Kraków,2021 I,130.97
Specification,Single ticket for flight Warszawa-Kraków,2021 II,134.81
Specification,Single ticket for flight Warszawa-Kraków,2021 III,273.05
Specification,Single ticket for flight Warszawa-Kraków,2021 IV,183.05
Specification,Single ticket for flight Warszawa-Kraków,2021 V,341.45
Specification,Single ticket for flight Warszawa-Kraków,2021 VI,137.69
Specification,Single ticket for flight Warszawa-Kraków,2021 VII,172.97
Specification,Single ticket for flight Warszawa-Kraków,2021 VIII,137.69
Specification,Single ticket for flight Warszawa-Kraków,2021 IX,169.79
Specification,Single ticket for flight Warszawa-Kraków,2021 X,137.69
Specification,Single ticket for flight Warszawa-Kraków,2021 XI,137.69
Specification,Single ticket for flight Warszawa-Kraków,2021 XII,169.01
Specification,Single ticket for flight Warszawa-Kraków,2022 I,148.49
Specification,Single ticket for flight Warszawa-Kraków,2022 II,148.71
Specification,Single ticket for flight Warszawa-Kraków,2022 III,148.71
Specification,Single ticket for flight Warszawa-Kraków,2022 IV,148.71
Specification,Single ticket for flight Warszawa-Kraków,2022 V,148.71
Specification,Single ticket for flight Warszawa-Kraków,2022 VI,148.71
Specification,Single ticket for flight Warszawa-Kraków,2022 VII,148.71
Specification,Single ticket for flight Warszawa-Kraków,2022 VIII,152.15
Specification,Single ticket for flight Warszawa-Kraków,2022 IX,158.43
Specification,Single ticket for flight Warszawa-Kraków,2022 X,158.43
Specification,Single ticket for flight Warszawa-Kraków,2022 XI,145.31
Specification,Single ticket for flight Warszawa-Kraków,2022 XII,240.14
Specification,Single ticket for flight Warszawa-Kraków,2023 I,159.49
Specification,Single ticket for flight Warszawa-Kraków,2023 II,146.21
Specification,Single ticket for flight Warszawa-Kraków,2023 III,159.46
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2010 I,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2010 II,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2010 III,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2010 IV,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2010 V,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2010 VI,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2010 VII,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2010 VIII,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2010 IX,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2010 X,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2010 XI,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2010 XII,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2011 I,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2011 II,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2011 III,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2011 IV,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2011 V,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2011 VI,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2011 VII,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2011 VIII,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2011 IX,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2011 X,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2011 XI,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2011 XII,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2012 I,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2012 II,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2012 III,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2012 IV,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2012 V,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2012 VI,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2012 VII,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2012 VIII,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2012 IX,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2012 X,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2012 XI,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2012 XII,1.55
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2013 I,2.68
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2013 II,2.68
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2013 III,2.68
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2013 IV,2.68
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2013 V,2.68
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2013 VI,2.68
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2013 VII,2.68
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2013 VIII,2.68
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2013 IX,2.68
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2013 X,2.68
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2013 XI,2.68
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2013 XII,2.68
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2014 I,2.68
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2014 II,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2014 III,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2014 IV,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2014 V,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2014 VI,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2014 VII,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2014 VIII,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2014 IX,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2014 X,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2014 XI,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2014 XII,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2015 I,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2015 II,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2015 III,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2015 IV,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2015 V,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2015 VI,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2015 VII,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2015 VIII,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2015 IX,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2015 X,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2015 XI,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2015 XII,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2016 I,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2016 II,2.75
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2016 III,2.88
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2016 IV,2.88
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2016 V,2.88
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2016 VI,2.88
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2016 VII,2.88
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2016 VIII,2.88
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2016 IX,2.88
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2016 X,2.88
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2016 XI,2.88
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2016 XII,2.88
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2017 I,2.88
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2017 II,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2017 III,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2017 IV,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2017 V,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2017 VI,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2017 VII,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2017 VIII,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2017 IX,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2017 X,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2017 XI,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2017 XII,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2018 I,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2018 II,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2018 III,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2018 IV,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2018 V,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2018 VI,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2018 VII,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2018 VIII,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2018 IX,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2018 X,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2018 XI,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2018 XII,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2019 I,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2019 II,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2019 III,3.18
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2019 IV,4.63
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2019 V,4.63
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2019 VI,4.63
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2019 VII,4.63
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2019 VIII,4.63
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2019 IX,4.63
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2019 X,4.63
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2019 XI,4.63
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2019 XII,4.63
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2020 I,4.63
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2020 II,4.63
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2020 III,4.63
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2020 IV,4.63
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2020 V,4.63
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2020 VI,4.63
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2020 VII,4.63
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2020 VIII,4.63
Specification,"Stamp for unregistered letter, standard domestic delivery, up to 50 g",2020 IX,4.63
